gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.098	3.956	1.098	0	0	0	0.947	1.911
A1CF	0.903	14.099	0	0	0.903	3.121	2.335	7.739
A2M	1.529	15.644	0	0	1.529	6.208	7.908	0
A3GALT2	0.122	1.313	0	0	0.122	0.367	0.157	0.666
A4GALT	0.518	6.359	0.1	0	0.417	0.59	0	5.251
A4GNT	0.19	41.121	0	0	0.19	18.727	2.681	19.523
AAAS	0.922	11.371	0	0	0.922	1.028	0	9.422
AACS	1.293	29.525	0	0	1.293	4.522	0	23.711
AADAC	0.264	13.893	0	0.264	0	4.091	9.539	0
AADACL2	0.391	5.241	0	0.391	0	1.95	1.741	1.159
AADACL3	0.419	21.176	0.419	0	0	0	1.309	19.448
AADAT	0.137	6.664	0	0.137	0	4.178	1.797	0.552
AAGAB	0.725	13.704	0.467	0	0.258	6.12	0	6.859
AAK1	0	2.796	0	0	0	0.95	0.18	1.667
AAMDC	0.692	24.019	0	0	0.692	5.55	3.53	14.247
AAMP	0	10.41	0	0	0	0	0	10.41
AANAT	0.2	5.634	0	0	0.2	1.578	0	3.856
AAR2	0.872	12.854	0	0	0.872	2.283	0	9.699
AARD	0.515	1.809	0.27	0	0.244	0	0	1.294
AARS	2.198	23.698	0	0	2.198	2.22	0	19.28
AARS2	0.231	21.677	0	0	0.231	4.276	2.36	14.81
AARSD1	2.691	12.07	0	0	2.691	3.636	0	5.743
AASDH	0	15.729	0	0	0	1.898	0.645	13.186
AASDHPPT	0.084	1.275	0	0.084	0	0.361	0.614	0.217
AASS	0.105	1.966	0	0.105	0	0	1.489	0.371
AATF	1.165	10.226	0	0	1.165	0	1.718	7.344
AATK	0	0	0	0	0	0	0	0
ABAT	0	179.728	0	0	0	32.595	0	147.133
ABCA1	0.572	12.735	0	0.572	0	7.51	4.654	0
ABCA12	0	2.695	0	0	0	0.844	0.676	1.175
ABCA13	0.717	12.515	0	0.717	0	5.044	0	6.754
ABCA2	0	1.687	0	0	0	0.454	0.406	0.827
ABCA3	0	5.567	0	0	0	1.224	1.274	3.068
ABCA4	0.139	4.123	0	0	0.139	0.418	0.952	2.614
ABCA5	0	8.252	0	0	0	2.805	1.205	4.241
ABCA6	3.608	37.604	2.018	0	1.59	8.58	13.42	11.996
ABCA7	0.839	13.52	0	0	0.839	1.142	0	11.539
ABCA8	0.987	8.91	0.683	0.304	0	4.329	1.522	2.072
ABCA9	0.417	11.687	0	0.417	0	7.665	1.5	2.106
ABCB1	0.718	1.841	0	0.718	0	1.123	0	0
ABCB10	2.622	49.403	0	0	2.622	12.13	0.291	34.359
ABCB11	0.342	4.976	0	0	0.342	0.564	2.18	1.891
ABCB4	0	16.717	0	0	0	4.186	7.315	5.217
ABCB5	0.458	13.457	0	0.458	0	2.51	1.027	9.462
ABCB6	0.251	8.568	0	0	0.251	1.503	0.982	5.831
ABCB7	1.269	22.577	0	0	1.269	2.538	10.219	8.551
ABCB8	0.811	7.274	0	0	0.811	0.994	0	5.47
ABCB9	1.2	25.437	0	0	1.2	8.086	4.058	12.093
ABCC1	1.695	46.728	0	0	1.695	0	5.424	39.609
ABCC10	0.176	8.306	0	0	0.176	1.65	0	6.48
ABCC12	0	23.539	0	0	0	15.873	0	7.667
ABCC2	0.168	11.585	0	0	0.168	0.857	1.25	9.311
ABCC3	0	9.776	0	0	0	0	0	9.776
ABCC4	0.856	11.369	0	0.856	0	0	3.304	7.209
ABCC5	0.489	5.898	0.166	0	0.322	0.409	2.719	2.281
ABCC6	0	16.738	0	0	0	4.687	2.036	10.015
ABCC8	0	31.87	0	0	0	12.55	0	19.319
ABCC9	0.205	1.418	0	0	0.205	0	0.307	0.906
ABCD1	0.138	6.363	0	0	0.138	0.684	1.14	4.401
ABCD2	0.082	3.011	0	0	0.082	1.372	0.552	1.004
ABCD3	0.259	2.919	0.206	0.054	0	1.08	0.615	0.965
ABCD4	1.616	20.71	0	0	1.616	4.397	0	14.697
ABCE1	0.23	11.76	0	0	0.23	0.444	2.483	8.603
ABCF1	0.833	6.086	0	0	0.833	1.42	0	3.833
ABCF2	1.633	9.276	0.244	0.279	1.111	1.204	0.44	5.998
ABCF3	0.861	22.655	0	0	0.861	1.929	3.807	16.057
ABCG1	1.975	7.523	0	1.975	0	5.548	0	0
ABCG2	0	3.918	0	0	0	0.607	0.54	2.772
ABCG4	0.673	12.511	0	0	0.673	0	0	11.838
ABCG5	1.127	19.99	0	0.431	0.697	3.298	0	15.565
ABCG8	0	44.527	0	0	0	12.498	6.827	25.202
ABHD10	0.297	6.368	0	0	0.297	0.969	0.834	4.268
ABHD11	0.994	256.802	0	0	0.994	2.118	0	253.69
ABHD12	0	2.113	0	0	0	0	0.695	1.418
ABHD12B	0.379	15.163	0	0	0.379	4.885	0.769	9.13
ABHD13	0.163	4.958	0	0	0.163	2.614	1.469	0.711
ABHD14A	1.672	12.089	0	0	1.672	0.774	0	9.644
ABHD14B	1.145	8.885	0	0	1.145	1.551	0	6.19
ABHD15	1.086	13.839	0	0	1.086	0.982	0	11.771
ABHD16A	4.281	68.486	0	0	4.281	28.399	0.812	34.994
ABHD16B	1.081	13.228	0.762	0	0.319	2.614	0	9.533
ABHD17A	0.642	2.319	0	0	0.642	0	0	1.677
ABHD17B	1.028	32.65	0	0	1.028	2.881	7.378	21.363
ABHD17C	0.049	3.632	0	0	0.049	2.257	0.296	1.03
ABHD18	0	8.597	0	0	0	0.622	0	7.975
ABHD2	0.183	19.133	0	0	0.183	0.548	4.024	14.378
ABHD3	1.087	22.825	0	0	1.087	2.67	2.454	16.614
ABHD4	1.126	26.703	0	0	1.126	2.516	5.817	17.244
ABHD5	0.421	22.588	0	0	0.421	7.962	0	14.205
ABHD6	0.231	25.395	0	0	0.231	2.652	2.673	19.839
ABHD8	1.954	35.68	0	0	1.954	12.976	0	20.751
ABI1	1.132	11.621	0	0.205	0.927	2.049	2	6.44
ABI2	1.002	14.622	0	0	1.002	3.57	0	10.05
