gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.614	5.945	0.614	0	0	0	4.093	1.238
A1CF	0.371	11.137	0	0	0.371	2.52	2.088	6.158
A2M	0.26	3.861	0	0	0.26	1.521	2.08	0
A3GALT2	1.437	16.859	0	0	1.437	5.438	4.209	5.776
A4GALT	0.628	7.824	0.209	0	0.418	0.564	0	6.632
A4GNT	0.721	4.72	0	0	0.721	0.48	0.396	3.123
AAAS	1.464	13.432	0	0	1.464	0.2	0	11.768
AACS	0.828	16.21	0	0	0.828	1.946	0	13.436
AADAC	0.787	13.66	0	0.787	0	4.175	8.698	0
AADACL2	0.494	9.759	0	0.494	0	3.555	3.466	2.243
AADACL3	0.627	18.494	0.627	0	0	0	1.386	16.482
AADAT	1.309	21.897	0	1.309	0	13.892	3.92	2.775
AAGAB	0.956	9.877	0.358	0	0.598	3.214	0	5.707
AAK1	0	7.213	0	0	0	3.189	0.535	3.49
AAMDC	0.347	13.774	0	0	0.347	2.359	2.682	8.386
AAMP	0	1.45	0	0	0	0	0	1.45
AANAT	0.198	6.714	0	0	0.198	1.569	0	4.947
AAR2	1.312	8.27	0	0	1.312	1.295	0	5.664
AARD	2.397	8.203	1.383	0	1.014	0	0	5.807
AARS	1.26	17.787	0	0	1.26	2.067	0	14.461
AARS2	0	10.222	0	0	0	2.207	2.367	5.648
AARSD1	6.492	16.183	0	0	6.492	3.928	0	5.763
AASDH	0	25.808	0	0	0	2.836	3.007	19.964
AASDHPPT	1.012	5.964	0	1.012	0	1.468	2.941	0.544
AASS	0	5.766	0	0	0	0	4.094	1.672
AATF	2.063	19.775	0	0	2.063	0	2.116	15.596
AATK	0	0	0	0	0	0	0	0
ABAT	0	16.719	0	0	0	3.251	0	13.469
ABCA1	1.751	15.899	0	1.751	0	8.353	5.795	0
ABCA12	0	3.416	0	0	0	1.034	0	2.382
ABCA13	0.298	10.695	0	0.298	0	5.592	0	4.805
ABCA2	0	4.436	0	0	0	1.583	0	2.853
ABCA3	0	7.246	0	0	0	1.743	1.224	4.278
ABCA4	0	12.507	0	0	0	1.935	1.321	9.25
ABCA5	0	3.849	0	0	0	0.895	1.267	1.687
ABCA6	3.145	32.923	0.987	0	2.158	6.371	14.494	8.914
ABCA7	0.823	6.827	0	0	0.823	0.371	0	5.634
ABCA8	0.68	16.477	0.319	0.36	0	8.575	4.579	2.643
ABCA9	1.095	16.792	0	1.095	0	10.187	2.274	3.235
ABCB1	1.025	1.876	0	1.025	0	0.85	0	0
ABCB10	1.525	16.841	0	0	1.525	3.626	0	11.69
ABCB11	2.034	8.804	0	0	2.034	0.778	3.512	2.48
ABCB4	0	11.005	0	0	0	4.696	4.217	2.092
ABCB5	0.679	11.157	0	0.679	0	3.485	0.366	6.627
ABCB6	0.268	6.538	0	0	0.268	2.025	0.599	3.646
ABCB7	3.132	17.48	0	0	3.132	2.021	10.738	1.588
ABCB8	1.218	19.198	0	0	1.218	1.405	0	16.575
